Group,Condition,Prime,Target,PrimeAudio,TargetAudio,Correct
praclist,R,vessle,vest.mp3,vessle.mp3,vest.mp3,J
praclist,UR,ruffle,people,ruffle.mp3,people.mp3,J
praclist,UR,burst,quad,burst.mp3,quad.mp3,J
praclist,UR,pint,normal,pint.mp3,normal.mp3,J
praclist,R,pins,pinch,pins.mp3,pinch.mp3,J
praclist,R,spite,spice,spite.mp3,spice.mp3,J
praclist,R,stoop,stook,stoop.mp3,stook.mp3,F
praclist,UR,tumor,gank,tumor.mp3,gank.mp3,F
praclist,UR,funk,nilt,funk.mp3,nilt.mp3,F
praclist,R,clan,claf,clan.mp3,claf.mp3,F
praclist,UR,fiber,lask,fiber.mp3,lask.mp3,F
praclist,R,arise,arike,arise.mp3,arike.mp3,F
